url,date_posted,location,type,qualification,position,minimum_experience,sector,workers,miscellaneous,skills,min_salary,max_salary,avg_salary,locations,qualifications,miscellaneouses
https://www.jobstreet.co.id/id/job/oracle-dba-4405462?jobId=jobstreet-id-job-4405462&sectionRank=10&token=0~19cd48af-0b11-45ff-9d22-106e31651716&fr=SRP%20Job%20Listing,2023-07-14,Tangerang,Penuh Waktu,Sarjana (S1),Pegawai (non-manajemen & non-supervisor),1,Komputer/Teknik Informatika (Perangkat Lunak),1001 - 2000,"Asuransi kesehatan, Senin - Jumat, Kasual (contoh: Kaos)","['OCI', 'DBMS', 'communication skills']",,,,['Tangerang'],['Sarjana (S1)'],"['Asuransi kesehatan', 'Senin - Jumat', 'Kasual (contoh: Kaos)']"
https://www.jobstreet.co.id/id/job/data-engineer-4404278?jobId=jobstreet-id-job-4404278&sectionRank=44&token=0~d29da81e-223d-435b-aa1d-f687b68539fd&fr=SRP%20Job%20Listing,2023-07-14,Surabaya,Penuh Waktu,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Pegawai (non-manajemen & non-supervisor),1,Komputer/Teknik Informatika (Perangkat Lunak),1- 50,"Senin - Jumat, Kasual (contoh: Kaos)","['Python', 'Java', 'shell scripting', 'Linux', 'Microsoft Excel', 'DBMS', 'data modeling']",4300000,6020000,5160000.0,['Surabaya'],"['Sertifikat Professional', 'D3 (Diploma)', 'D4 (Diploma)', 'Sarjana (S1)']","['Senin - Jumat', 'Kasual (contoh: Kaos)']"
https://www.jobstreet.co.id/id/job/data-engineer-4403763?jobId=jobstreet-id-job-4403763&sectionRank=71&token=0~847fbbe3-8e91-4eaa-8dde-e8b0f70be190&fr=SRP%20Job%20Listing,2023-07-13,Jakarta Pusat,Penuh Waktu,Sarjana (S1),Pegawai (non-manajemen & non-supervisor),3,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",51 - 200,"Tunjangan Pendidikan, Tip, Asuransi kesehatan, Senin - Jumat, Bisnis (contoh: Kemeja)","['SQL', 'coding', 'Python', 'Talend Studio', 'DBMS', 'data warehousing', 'data visualization', 'Machine Learning', 'team player']",,,,['Jakarta Pusat'],['Sarjana (S1)'],"['Tunjangan Pendidikan', 'Tip', 'Asuransi kesehatan', 'Senin - Jumat', 'Bisnis (contoh: Kemeja)']"
https://www.jobstreet.co.id/id/job/data-engineer-manager-4403590?jobId=jobstreet-id-job-4403590&sectionRank=76&token=0~847fbbe3-8e91-4eaa-8dde-e8b0f70be190&fr=SRP%20Job%20Listing,2023-07-13,Tangerang,Penuh Waktu,Sarjana (S1),Manajer/Asisten Manajer,6,Retail/Merchandise,Lebih dari 5000,"Asuransi Gigi, Asuransi kesehatan, Pinjaman, Senin - Jumat, Bisnis (contoh: Kemeja), Kasual (contoh: Kaos)",['data warehousing'],,,,['Tangerang'],['Sarjana (S1)'],"['Asuransi Gigi', 'Asuransi kesehatan', 'Pinjaman', 'Senin - Jumat', 'Bisnis (contoh: Kemeja)', 'Kasual (contoh: Kaos)']"
https://www.jobstreet.co.id/id/job/mining-data-engineer-analyst-4403176?jobId=jobstreet-id-job-4403176&sectionRank=90&token=0~847fbbe3-8e91-4eaa-8dde-e8b0f70be190&fr=SRP%20Job%20Listing,2023-07-13,Kotabaru,Penuh Waktu,Sarjana (S1),Supervisor/Koordinator,2,Pertambangan,501 - 1000,"Asuransi kesehatan, Mess, Seragam, Sistem Roster",['data analysis'],,,,['Kotabaru'],['Sarjana (S1)'],"['Asuransi kesehatan', 'Mess', 'Seragam', 'Sistem Roster']"
https://www.jobstreet.co.id/id/job/etl-developer-4402820?jobId=jobstreet-id-job-4402820&sectionRank=97&token=0~2856dea4-60be-4b73-9670-cfb6b7ab1026&fr=SRP%20Job%20Listing,2023-07-13,Jakarta Raya,Kontrak,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",Pegawai (non-manajemen & non-supervisor),3,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",501 - 1000,"Asuransi Gigi, Tip, Asuransi kesehatan, Penglihatan, Bisnis (contoh: Kemeja), Senin - Jumat","['SQL', 'T-SQL', 'SSAS', 'SSIS', 'SSRS', 'C#', 'OCI', 'shell scripting', 'Linux', 'Windows', 'Microsoft .NET Framework', 'Visual Basic', 'Talend Studio', 'Pentaho', 'Informatica', 'DBMS', 'data warehousing', 'data analysis', 'communication skills', 'english']",,,,['Jakarta Raya'],"['Sertifikat Professional', 'D3 (Diploma)', 'D4 (Diploma)', 'Sarjana (S1)', 'Diploma Pascasarjana', 'Gelar Professional', 'Magister (S2)']","['Asuransi Gigi', 'Tip', 'Asuransi kesehatan', 'Penglihatan', 'Bisnis (contoh: Kemeja)', 'Senin - Jumat']"
https://www.jobstreet.co.id/id/job/senior-associate-dba-4402364?jobId=jobstreet-id-job-4402364&sectionRank=120&token=0~2856dea4-60be-4b73-9670-cfb6b7ab1026&fr=SRP%20Job%20Listing,2023-07-12,Jakarta Selatan,Penuh Waktu,Sarjana (S1),Pegawai (non-manajemen & non-supervisor),1,Komputer/Teknik Informatika (Perangkat Lunak),51 - 200,"Asuransi Gigi, Tip, Asuransi kesehatan, Senin - Jumat, Bisnis (contoh: Kemeja), Career Development & Training","['SQL', 'T-SQL', 'MySQL', 'PostgreSQL', 'NoSQL', 'MongoDB', 'Cassandra', 'OCI', 'Oracle RAC', 'Oracle ASM', 'Data Guard', 'Oracle GoldenGate', 'Redis', 'DBMS', 'data analysis', 'data visualization', 'communication skills', 'proactive']",,,,['Jakarta Selatan'],['Sarjana (S1)'],"['Asuransi Gigi', 'Tip', 'Asuransi kesehatan', 'Senin - Jumat', 'Bisnis (contoh: Kemeja)', 'Career Development & Training']"
https://www.jobstreet.co.id/id/job/data-engineer-4402266?jobId=jobstreet-id-job-4402266&sectionRank=129&token=0~2299ede8-dcf6-4776-92ea-d41bad327f06&fr=SRP%20Job%20Listing,2023-07-12,Jakarta Selatan,Penuh Waktu,Sarjana (S1),Pegawai (non-manajemen & non-supervisor),1,Komputer/Teknik Informatika (Perangkat Lunak),51 - 200,"Asuransi Gigi, Tip, Asuransi kesehatan, Senin - Jumat, Bisnis (contoh: Kemeja), Career Development & Training",[],,,,['Jakarta Selatan'],['Sarjana (S1)'],"['Asuransi Gigi', 'Tip', 'Asuransi kesehatan', 'Senin - Jumat', 'Bisnis (contoh: Kemeja)', 'Career Development & Training']"
https://www.jobstreet.co.id/id/job/associate-sql-dba-4402243?jobId=jobstreet-id-job-4402243&sectionRank=133&token=0~2299ede8-dcf6-4776-92ea-d41bad327f06&fr=SRP%20Job%20Listing,2023-07-12,Jakarta Selatan,Penuh Waktu,Sarjana (S1),Pegawai (non-manajemen & non-supervisor),1,Komputer/Teknik Informatika (Perangkat Lunak),51 - 200,"Asuransi Gigi, Tip, Asuransi kesehatan, Senin - Jumat, Bisnis (contoh: Kemeja), Career Development & Training","['SQL', 'T-SQL', 'DBMS']",,,,['Jakarta Selatan'],['Sarjana (S1)'],"['Asuransi Gigi', 'Tip', 'Asuransi kesehatan', 'Senin - Jumat', 'Bisnis (contoh: Kemeja)', 'Career Development & Training']"
https://www.jobstreet.co.id/id/job/associate-dba-4402234?jobId=jobstreet-id-job-4402234&sectionRank=135&token=0~2299ede8-dcf6-4776-92ea-d41bad327f06&fr=SRP%20Job%20Listing,2023-07-12,Jakarta Selatan,Penuh Waktu,Sarjana (S1),Pegawai (non-manajemen & non-supervisor),1,Komputer/Teknik Informatika (Perangkat Lunak),51 - 200,"Asuransi Gigi, Tip, Asuransi kesehatan, Senin - Jumat, Bisnis (contoh: Kemeja), Career Development & Training","['data visualization', 'communication skills', 'attention to detail']",,,,['Jakarta Selatan'],['Sarjana (S1)'],"['Asuransi Gigi', 'Tip', 'Asuransi kesehatan', 'Senin - Jumat', 'Bisnis (contoh: Kemeja)', 'Career Development & Training']"
